カテゴリ,iam,メモ、備考,優先度,商社,メーカー,メーカー型番,商社品名,注文コード,数量,単価,小計
機械,機体,,,1,misumi,477,クッション,https://jp.misumi-ec.com/vona2/detail/223006733714/?KWSearch=%e5%ae%89%e5%bf%83%e3%82%af%e3%83%83%e3%82%b7%e3%83%a7%e3%83%b3%e3%82%b3%e3%83%bc%e3%83%8a%e3%83%bc%e7%94%a8&searchFlow=results2products&list=PageSearchResult,8,,
機械,,,,1,misumi,外注 材質(SPCC(SPHC))表面処理(塗装(近似マンセル値2.5Y8/14)),緊急停止スイッチマウント,,2,,
機械,機体,,,,misumi,外注(PET(スタンダード・透明)),防水1,,2,,
機械,機体,,,,misumi,外注(PET(スタンダード・透明)),防水2,,1,,
機械,機体,,,,misumi,外注(PET(スタンダード・透明)),防水4,,1,,
機械,機体,,,,misumi,外注(PET(スタンダード・透明)),防水3,,1,,
機械,自由輪,,,3,monotaro,ナンシン プレート式 自在、ゴム(B入り)車 車輪径D 150Φmm、許容荷重 160daN、STC-150CBC,自由輪,https://www.monotaro.com/p/3519/5946/,1,,
機械,車軸部分,,,1,yahoo,モンキー・ゴリラ用　８インチ　アルミホイール・タイヤセット（ホイール選択：2.5J，タイヤ選択：90/65-8，オプション：組付けなし）,車輪,https://store.shopping.yahoo.co.jp/redmotoparts/ca085.html,2,,
機械,車軸部分,,,1,yahoo,朱雀技研工房,小型DCギヤードモータ RS-775GM144-METAL-D Dカット軸・初段金属ギヤ仕様,https://store.shopping.yahoo.co.jp/suzakulab/rs-775gm144-metal-d.html,2,,
機械,車軸部分,,,,yahoo,朱雀技研工房,RS-775 1/144　接着剤601,https://store.shopping.yahoo.co.jp/suzakulab/rs-775gm144-metal-r.html?sc_i=shp_pc_search_itemlist_shsrg_title,2,,
機械,自由輪,外注,,,ニワカソフト,自由輪治具（t=3mm，d=180mm，w=100mm）,自由輪マウント,,1,,
機械,車軸部分,外注,,,ニワカソフト,外注　カーボン化(t5),車軸受け板,,4,,
機械,車軸部分,外注,,,ニワカソフト,外注　カーボン化(t3),車軸受け板2,,2,,
機械,機体,外注,,,ニワカソフト,外注　カーボン化(t3),LRFマウント,,2,,
機械,機体,教員対応,,,北陽電機,UST-30LX,LiDAR,,2,,
機械,車軸部分,,,,,3Dプリンタ,モータースペーサ2,,2,,
機械,車軸部分,,,,,3Dプリンタ,モータースペーサ,,2,,
機械,車軸部分,,,,,3Dプリンタ,エンコーダガード2,,2,,
機械,機体,自作,,,,,回路スペース,,1,,
機械,機体,自作,,,,,回路スペース2,,1,,
機械,機体,自作,,,,,タイヤカバー,,2,,
電気部品,車軸部分,,,1,Marutsu,AMT102-V,AMT102-1,https://www.marutsu.co.jp/pc/i/1320459/,2,,
